| tablo                      | sutun                   |
| -------------------------- | ----------------------- |
| addresses                  | id                      |
| addresses                  | user_id                 |
| addresses                  | address_line1           |
| addresses                  | address_line2           |
| addresses                  | city                    |
| addresses                  | state                   |
| addresses                  | postal_code             |
| addresses                  | country                 |
| addresses                  | is_default              |
| addresses                  | address_type            |
| addresses                  | created_at              |
| addresses                  | updated_at              |
| addresses                  | full_name               |
| addresses                  | phone                   |
| addresses                  | title                   |
| admin_logs                 | id                      |
| admin_logs                 | admin_id                |
| admin_logs                 | action                  |
| admin_logs                 | entity                  |
| admin_logs                 | entity_id               |
| admin_logs                 | details                 |
| admin_logs                 | created_at              |
| admin_operations           | id                      |
| admin_operations           | operation_id            |
| admin_operations           | operation_type          |
| admin_operations           | parameters              |
| admin_operations           | created_by              |
| admin_operations           | created_at              |
| api_key_usage              | id                      |
| api_key_usage              | api_key_id              |
| api_key_usage              | endpoint                |
| api_key_usage              | ip_address              |
| api_key_usage              | created_at              |
| api_keys                   | id                      |
| api_keys                   | user_id                 |
| api_keys                   | name                    |
| api_keys                   | created_at              |
| api_keys                   | expires_at              |
| api_keys                   | is_active               |
| api_keys                   | last_used_at            |
| api_keys                   | key                     |
| api_keys                   | permissions             |
| categories                 | id                      |
| categories                 | name                    |
| categories                 | slug                    |
| categories                 | description             |
| categories                 | image_url               |
| categories                 | parent_id               |
| categories                 | is_active               |
| categories                 | created_at              |
| categories                 | updated_at              |
| categories                 | parent_category_id      |
| categories                 | sort_order              |
| collection_products        | id                      |
| collection_products        | collection_id           |
| collection_products        | product_id              |
| collection_products        | added_by                |
| collection_products        | created_at              |
| debug_logs                 | id                      |
| debug_logs                 | operation               |
| debug_logs                 | status                  |
| debug_logs                 | details                 |
| debug_logs                 | error_code              |
| debug_logs                 | error_message           |
| debug_logs                 | created_at              |
| discounts                  | id                      |
| discounts                  | code                    |
| discounts                  | description             |
| discounts                  | discount_type           |
| discounts                  | discount_value          |
| discounts                  | minimum_purchase_amount |
| discounts                  | starts_at               |
| discounts                  | expires_at              |
| discounts                  | is_active               |
| discounts                  | usage_limit             |
| discounts                  | used_count              |
| discounts                  | created_at              |
| discounts                  | updated_at              |
| email_verifications        | id                      |
| email_verifications        | user_id                 |
| email_verifications        | email                   |
| email_verifications        | token                   |
| email_verifications        | verified                |
| email_verifications        | expires_at              |
| email_verifications        | verified_at             |
| email_verifications        | created_at              |
| email_verifications        | updated_at              |
| flash_deals                | id                      |
| flash_deals                | product_id              |
| flash_deals                | title                   |
| flash_deals                | description             |
| flash_deals                | discount_percent        |
| flash_deals                | start_time              |
| flash_deals                | end_time                |
| flash_deals                | created_at              |
| flash_deals                | updated_at              |
| flash_deals                | is_active               |
| order_history              | id                      |
| order_history              | order_id                |
| order_history              | status                  |
| order_history              | comment                 |
| order_history              | created_by              |
| order_history              | created_at              |
| order_items                | id                      |
| order_items                | order_id                |
| order_items                | product_id              |
| order_items                | product_name            |
| order_items                | quantity                |
| order_items                | unit_price              |
| order_items                | attributes              |
| order_items                | created_at              |
| orders                     | id                      |
| orders                     | user_id                 |
| orders                     | order_number            |
| orders                     | status                  |
| orders                     | total_amount            |
| orders                     | shipping_amount         |
| orders                     | tax_amount              |
| orders                     | discount_amount         |
| orders                     | shipping_address_id     |
| orders                     | billing_address_id      |
| orders                     | payment_method          |
| orders                     | payment_status          |
| orders                     | notes                   |
| orders                     | created_at              |
| orders                     | updated_at              |
| orders                     | commission_amount       |
| product_attributes         | id                      |
| product_attributes         | product_id              |
| product_attributes         | attribute_name          |
| product_attributes         | attribute_value         |
| product_attributes         | created_at              |
| product_images             | id                      |
| product_images             | product_id              |
| product_images             | image_url               |
| product_images             | alt_text                |
| product_images             | is_primary              |
| product_images             | display_order           |
| product_images             | created_at              |
| product_images             | storage_path            |
| product_reviews            | id                      |
| product_reviews            | product_id              |
| product_reviews            | user_id                 |
| product_reviews            | rating                  |
| product_reviews            | comment                 |
| product_reviews            | is_verified             |
| product_reviews            | is_approved             |
| product_reviews            | created_at              |
| product_reviews            | updated_at              |
| product_variants           | id                      |
| product_variants           | product_id              |
| product_variants           | attributes              |
| product_variants           | price                   |
| product_variants           | stock_quantity          |
| product_variants           | sku                     |
| product_variants           | image_url               |
| product_variants           | is_default              |
| product_variants           | created_at              |
| product_variants           | updated_at              |
| products                   | id                      |
| products                   | name                    |
| products                   | slug                    |
| products                   | sku                     |
| products                   | description             |
| products                   | base_price              |
| products                   | sale_price              |
